title,content,comments
아니 씨발 이게 도대체 무슨소리냐?,uid 인증하랬더니겜안분이라 대리인증했다는게 씨발 말이야 방구야?,너도 태어날때부터 20살이었어? 너도 애기때가 있었을텐데 나도 뉴비라서 레벨 낮은걸 어떡하라고 | 팝콘각
스커크보고 거추가 단단해졌는데이거 병걸린건가요ㅜㅜㅜ,진짜제 꼬추가 단단해졌늗데 이거병있는건가요?ㅠㅠㅠㅜㅠ거추가 1시간째 단단해졌어요ㅠㅠㅠㅜㅜ퓨ㅠㅜ,[댓글 없음]
뭔 엉덩이 괴물이냐,볼때마다 웃기네,행자가 천리응디보고 반햇네  - dc App | 이걸 그렇게 본다고 ㅋㅋㅋㅋㅋ | 고환같이 생김 | ㅋㅋㅋㅋㅋㅋㅋ
.,,오
주딱이 시원하게 버거 100개 뿌려야 되면 개추,ㅇㄷㄴㅂㅌ,[댓글 없음]
인게임 캐릭터나 게임관련 닉네임은 그냥 정신병자임,,? | 디씨 하는 건 그냥 정신병자임 | 억울해요 | 통렬한 자아비판
온붕이 늦은 저녁,뒷고기에 된찌,늦게 먹네 | 뒷고기가 머야 | 건강하다 | 부자구나 | 나도 고기먹엇는데
다인이벤 좆같은점,따개들 핑 존나튀어,[댓글 없음]
스커크가 이 느낌임?,1이미지 순서 ON2이미지 순서 ON3이미지 순서 ON4이미지 순서 ON,[댓글 없음]
인사담당관 씨 발년이 9시에 걷었는데,다른간부들 다 20분에 걷는거 지혼자 지랄함,우린 8시30분이었어
사지절단,사이노지금부터절대적단단한1티어될예정,[댓글 없음]
이제보니 스커크 궁싸개or평타딜 선택 이거 잘만든것같음,궁싸개로 내 코코미파티가ㅈㄴ쎄짐근데 온필드 긴 캐릭들은 별로임- dc official App,[댓글 없음]
제발 푸평을 낮추지 말아주세요,푸리나가 아무리 귀여운 바병푸 뜌땨이라고 하지만푸평은 높을 수 있는거잖아요,아님 | 게이
모나가 약간 각청느낌이잇네,얘는 이제 취직이라도하는데 각청은 어떻하냐,케칭은 무려 단독 픽업을 받은 캐릭이야
저는 실패할래야 실패할수가 없습니다!,여러분이 계시는데 어떻게 실패합니까!,[댓글 없음]
근데 디씨닉네임 ㅈㄴ 생각없이 짓지 않나,야 그냥 게임이잖아 게임,난 아닌대  - dc App | 신중하게좀 만들자 | 안지었어 | 책상에 있던 물건중 제일 처음본 글씨로 지었어
요미맘들 일루와서 내 요미 좀 봐주셈,시메 / 녹활3재야이정도면 준종결은 되나?,저 요미맘인데 짬통줬어요 | 녹활3재래서 안봤어
스커크 2돌옵을 1돌에다 놨으면 안됐나 ㄹㅇ;;;;;;,ㄹㅇ 그러면 깔끔히 1돌전무하는데진짜,2돌옵이 존나좋아보임 | 2돌은 그 공허 균열 못받아먹어도 궁이나감
UID 공개하느니 걍 차단당하고 말지,그렇게 차단당한 고닉이 몇개더라,[댓글 없음]
우린 당직 잘만나면 폰 10시 반납하고 그랬었는데,중사에 존나 예민한 성격이었는데 자기는 그런 이미지인거은근 억울했었는지 종종 기분 좋으면 10시까지 알아서 하다가조용히 폰내고 자라던 양반있었음,당직이 토요일에 휴대폰 연등 밤새 준 적 있는데폐급새끼가 엄마한테 전화걸었다가엄마가 대대장한테 왜 자기아들이 휴대폰하냐고 물어봐서대대장이 일요일 아침에 와서 휴대폰 싹다 통제함
진짜 좆목질이 원갤에 곧 다가온다는거임,환상극은 풀돌러랑 uid 교환하는게 끝이었지?이거는 원갤에서 파티원 찾고파티원이랑 같은 월드에서 좆비비기 해야된다는거임대좆목갤의 시발점이 될것이다,이미 다들 비비고있는데? | 이게뭐덴
이거 콘 개귀여움,어찌 이리귀엽지,[댓글 없음]
근데 고닉 자체가 셀넴화아님?,내가볼땐 고닉금지만이 원갤에 평화를 가져온다,ㅇㅇ맞다 | 식코메모하고 좆목하면됨 | 합류하라 반고닉단에 | ㄹㅇ | 개추개추 | 여긴 이제부터 ㅇㅇ가 지배한다 | ㅖㅏ
슬슬 부거나 뿌리고 끝내죠?,완장들한테 줄ㄱ- dc official App,[댓글 없음]
원갤에서 차단해야하는 고닉 특징,닉네임에 캐릭터 이름이 들어감,일단 너부터 | 님 바로 차단함 | 이미 차단상태네 | 억울합니다 | 잘가
명태조림 안하는데 이캐릭은 인죵 ㅋㅋㅋ,얘는 진짜 개껄리더라.,이런개씨알 | 얘가 제일 싫은데
신문고 정독했다 요약 ㄱㄱ,차단 풀렸는데 이제 활동해도 되냐고 굳이 신문고에 와서 티냄그거 보고 한 파딱이 갱차범이라고 폭로그걸로 싸우니까 주딱이 UID 요구UID는 죽어도 못 내고 대신 주딱한테 단톡방에서 1ㄷ1 대화 하자고 제안UID 확인한 주딱이 개빡침현재 진행 중,[댓글 없음]
고닉은 다 이상한놈들밖에 없음,반고닉이 젤로 정상임,[댓글 없음]
근데 이번 단편애니 나만 실망했어??,티바트 밖에 암것도 없더라 ㄹㅇ...기대한 내가 바봉가,나도 | 실망 까지는 아니고 걍 볼만했는데
쇼군상 드디어 구햇음,72000원이라서 좀 비싸긴한데구성 ㅆㅅㅌㅊ굉장히 만족스럽다이- dc official App,줄
어라내가어제지맥을돌앗었나,,난 농레4개만들고겜꺼버림수구
컹부이치치 디시콘 반대하는 애들 와보셈,컹부이치치는 반대해도 너네 부모님이 먹여주고 길러주셨는데 지금 그지랄로 사는건 괜찮은거임?,왜 하필 연비짤임 | 뭐 | 일침은 연평
그래서 나비아보다 이쁨?,1이미지 순서 ON2이미지 순서 ON3이미지 순서 ON그래서 나비아보다 예쁘냐고,으흐흐 | 다 예뻐 | 와 진짜 이쁘네 ㄹㅇ
잼민이가 맞는것같은데,보통 억울하면 빡쳐서 지랄을 할텐데 너무 순수해보임갤에 목숨거는것도 그렇고,[댓글 없음]
남녀가 싸울땐 화해의 섹스가 직빵인데,벽에다 밀치고 키스 갈기고 끝내,남남이면 어떡함
신문고 댓글 오늘 400개 넘게 올라온듯,대체 얼마나 민거냐,[댓글 없음]
여친이 스커크 이쁘다고 시작한다는데,스커크 얘 뉴비한테 괜찮냐??물2얼음2 필수아냐?배포캐로 파티를 짤수있나,여친한테 똥좀먹이지마라 | 컹행중달로 극한의 쌀먹을 할 수 있을 듯 | 초반에는 뭘 들어도 밀리긴 할탠데 에스코피에 달린 리세계 없나 | 특성 레벨 하나 깎이는게 끝 아님?? | 여친이 이제 생일선물 트럭요구한다 ㅅㄱ  - dc App | 그래도 아야카보다 쎈데 아무상관없으니 걍 시작해보라하셈 어차피 나선 12층 가는데만 몇달은 걸리는데
컹컹이 명함전무 vs 1돌 대파 or 사면,뭐가 딜적으로는 효율 더 좋음.....,명전 | 명전
그냥 신문고에서 결혼식도 올리지 그러냐,축가는 블레이징 하트임,[댓글 없음]
덴덴이가 2돌하면 몇퍼됨?,,만족감 300% | 하이퍼캐리 기준 40에서 50 사이였던거같은데
좆같은거 저격함,1이미지 순서 ON2이미지 순서 ON사용감 개씨발 joat,왜이리 못하는덴 | 키니치는 이벤트마다 노잼이더라 | 그냥 이번 이벤트가 좆같던데
아니 이벤트 ㅈㄴ 재밌는데ㅋㅋㅋㅋㅋㅋ,용으로 변신해서 한 명만 패는거 개재밌네 이거ㅋㅋㅋ- dc official App,내꺼좀 해주
지금 신문고에 이 콘 달면 어케됨??,,해보고알려줘 | 님 차단먹음  - dc App | 진짜 1시간 차단 먹을 듯
와 스커크 2돌 하면 명함대비 50퍼 상승은 미쳤네,ㄹㅇ;;;;,더 세지지 않았나? | 근데 놀랍게도 대황덴도 2돌하면 50퍼 쎄진다는거임  - dc App
원신은 접었는데 신문고 이벤트 때문에 왔다,- dc official App,uid 인증 안하면 신문고 못봄 | 와 저거 오랜만이다
신문고 고닉 군인인척하려고 하는거 어이없노 ㅋㅋㅋㅋ,폰반납시간이 10시 ㅅㅂㅋㅋ,싸개or여(남)잼  - dc App | 내가봤을땐 잼민이라 엄마한테 내는게 맞는것같음 | 난8시반 반납이엿는데 | 나도 폰 반납하고 싶다 | 사령이 어캐해서 10시에 내는 거 일수도 있지 | 나 있단 부대는 9시 45분에 폰 제출이기는 했는데 요즘은 안 내나? | 부대마다 다르지않나
와 침옥협곡 감성 죽인다,예전에 무협 이런거 잘 모르고 했을 때도 좋다고 느꼈는데올만에 업적 하려고 다시 가봤는데 무협 느낌 죽인다 ㄹㅇ,아니여 | 아니야 | 기믹도 무난하고 분위기도 좋아서 탐험하기 좋았던 곳 | 수직으로 깊어서 보는맛이 있음
파워 밸런스 진짜 병신같긴하네 ㄹㅇ,마비카 초필살기로도 좆만한 구멍밖에 못내는데수르트알로기는 자기 제자 소풍가라고 구멍낸 크기봐,하늘그냥 존나부숨 이새끼들 ㅋㅋ  - dc App | 밖에선 더 잘 열리나 | 하늘 함 부숴
신문go 이벤 아직안끝낫음???,일단팝콘꺼냇다,지금 먹으면 살 쪄
저 고닉은 자서전 써도 되겠다,원갤에서 댓글 많이 받는 비결 이런거 쓰면 베스트 셀러 될듯,쟤는 디시 어느갤을 가도 많이 받을 재능충
지금 코코미단이 갤 장악하려는 시도임,,[댓글 없음]
버거뿌리면 한번만 봐드립니다,유동의 권력은 절대적,[댓글 없음]
Hot boys@play,,[댓글 없음]
흠.,,[댓글 없음]
치오리녀석 결국 폰타인 특검으로 구속된건가...,그럼 옷은 내가 입어야지,[댓글 없음]
신문고 요약하면 이거인거임?,나 싸개 아닌데인증 ㄱㅇㅋㅇㅋ... 보내줌니가 보내준거 도용임나 싸개 아닌데인증 ㄱ진짜 보내야함?인증 ㄱ나 진짜 싸개 아닌데인증 ㄱ진짜 이거임?,ㅇㅇ
천리 밑 일곱신 7탑이었는데,사이에 뭐 존나 끼어들어온거 난 좀 별로임..- dc official App,사이에 X천리 위에 O
하프로 풀악셀 연습하고있음,근데 왜 이걸하고있지,[댓글 없음]
리월 초딩 야라니 <- 이거 공식이었네;;,야라니가 탐사중이야~클릭 잘못했다가 이거 떴는데깜놀했다,[댓글 없음]
코믹스 영화 애니 드라마 재밋는거 추천좀,아무거나 좋으니까 추천좀,체르노빌
지금 무슨일임??,방금왔는데 뭔떡밥인지 모르겠네- dc official App,[댓글 없음]
걍 아쥬 자체가 존나 아까운 캐릭임,이새끼 영주 서열 4위에다가 생명 열소화 연구도 지 혼자 한 나름 강한 + 똑똑한 놈인 데다가센놈이 힘 빌려줘서 그걸로 싸우는 클리셰도 매력적인데좆타식 유아용 개그 치겠다고 애를 병신으로 만들어놓고 키니치 분량 죽이기 + 아쥬 정체도 메인이나 이벤트로 안 풀어서 계속 병신 만듬좆타 1막 2막 카치나짱 정도의 분량만 챙겼어도 저건 다 풀었을 텐데,딴거보다 너무 애가 지능이 낮음...
주딱 화푸는 방법 (호감고닉일수록 효과좋음),파딱 신청하기심지어 윈윈임,ㅇㅋ 신청합니다
죄송합니다...,저녁으로 탕수육 시켜먹고도 모자라서 편의점에서 햄버거 하나 더 사먹었습니다...,돼지 | 부자임? | 줗 | 다 그렇게 먹는거 아니였음?? | 진짜댇지네 | 대지야 내꺼는
컹이 50뽑안에 뽑는 기적을 보여줌,난 할수있다,[댓글 없음]
메이드복 이재명.jpg,안녕 난 닥터 추이추야,ㅇㄷ??
주딱은 빨리 다인맵에서 있었던일 낱낱이 보고하셈,완장끼리만 즐기고 끝내면 절대 용서못함,[댓글 없음]
진짜 갤 망한거같아서 가슴이 너무 아팟서,저 좃도아닌거로 갤플이 돌아간다는게 너무 슬펏서뭐 재밌는것도 아니고 진짜 좃도 아닌거로 갤플이 돌아간다니 원갤이 병들엇ㅅ서...,겜이 병들어서 어쩔 수 없대
님들 이거 어느 애니에 나오는 대사임?,진짜 박력 넘친다살짝 지렸음 지금,귀멸의칼날
❗+실시간 신문고 재미 지수 : ★★★★★★❗+,,[댓글 없음]
슬슬 공개하죠?,안올리면 친구놈이 그린 해병짤 올릴지도,[댓글 없음]
나히다 이토 왜짤린거임?,걍 나갔다가 생각해보니까 짤 귀여워서 저장하려 다시들어갔더니 삭제됨,그거 벤카스임  - dc App | 그거 클릭하면 벤카스됨
스샷을공개해라,공개해라,[댓글 없음]
븅신도아니고 지 UID를 왜깜,완장이 괜히 버거뿌릴때 UID 적으라고 하는 줄 아나,[댓글 없음]
그래서결론이머임,공개안하면똥짤테러함,[댓글 없음]
근데 완장들 월급받는거 진짜인듯,저렇게 스트레스 받으면서 무급 노예일리가 없음- dc official App,[댓글 없음]
북대륙 양손검 원형 재화는 그냥 써도 별 문제 없음?,대검 쓸게 없어서 고화 프로토 타입? 이라는 무기 제작에 쓸려고 하는데북대륙 양손검 원형 이라는 템이 막 그렇게 잘  아끼는거 추천하는  물건은 아니지?,거의안쓰지 | 누구줄라고 만드는거임? | 주보돌다보면 가끔 나옴
근데 저렇게 하면 갱차가 풀려도 풀린게 아니지않음?,식별코드 다 까놓고 저렇게 어그로를 끌면셀넴화랑 뭐가 다름 ㅋㅋ나는 낯가려서 저렇게 돌림빵 당한 식별코드 못씀,그런걸 즐기는 인간이니까 저기까지갔지
완장들 자기들만 재밌는거 돌려보네,이거친목아니야??!??,이건 진짜 완장 꼬리친건데 임명안하면 용서못함
요즘은 출석봇 작동 안하나요?,생각해보니까 요즘 우편을 받은 적이없네그 디코로 하던 거 잘 쓰고있엏는데,난 확장프로그람 | 토큰 넣어서 하는 거면 호요랩 로긴하고 토큰 다시 따와서 수정해보셈
원갤 너무 재밌다,이래서 내가 원갤을 못끊어,[댓글 없음]
주딱은 원갤의 물같은존재임,.,[댓글 없음]
여기가 주딱 역대급 극대노 했다는 갤러리인가요,,[댓글 없음]
근데 완장은 왜하는거야?,하루종일 정공들 상대해주는거 1년 365일 해서자기 인생 갈리면 머가 남음?,월급800 | 월급 | 월급이 상당함 | 부와명성 | 나도 그래서 도망쳤잖아 그뒤로 절대안해 | 월급 마니 받던뎅  - dc App | 알바거나 게임사 직원 | 월 500이레
알고보니 나타의 보살인 새끼들,2이미지 순서 ON,[댓글 없음]
엔젤 키스~❤+,,원본
저녁먹었는데 배고파서 라면 끓이는중임,돼지는 아닌듯,다음엔 좀 더 일찍 먹어
이런거 보면 주딱 ㅈㄴ 믿음직함,확실한거 아니면 확정 안하고의심스러우면 대화 시도해보고일단 말은 끝까지 들어주고가급적이면 억울한 사람 없게 해줌유동짤 풀어놓은 이유가 주딱하고 파딱이 지울 자신 있으니까 푼다고 말한거 보면진짜로 ㅈㄴ 믿음직함,[댓글 없음]
산고노미야 코코미,산고노미야 코코미,[댓글 없음]
주딱이 극대노 했다는게 뭔말임,뭔일임,신문고 ㄱ
.,1이미지 순서 ON2이미지 순서 ON3이미지 순서 ON,[댓글 없음]
신문고 댓글 200개 넘는데 축제임? 장례식임?,불타는건 아닌거 같은데- dc official App,[댓글 없음]
원갤진짜 재밌다,,[댓글 없음]
남행자 프로필에 박은애들은 걍 차단먹어야하는거아님?,저 게이에요~하고 티내는 꼴이잖아지나가던 개도 알겠다,지지합니다
에겐남 테토녀가 대체 뭐냐고,내가 아는 테토는 짭미쿠라고,"테테 테토리스 | 난 테토남 너는 에겐남임 | 그거 맞음 ㅇㅇ | 테스토스테론:상남자특, 에스트로겐:게이특 | 내가 아는건 세뇌당하는애인데  - dc App | 에겐남=여유증테토녀=꼴페미"
근데 여자면 안 되는 거임?,나여잔데 ㅇㅅㅇ..,이쁨? | 메모
실제상황임??,1이미지 순서 ON,[댓글 없음]
근데 거짓된하늘 궁금한게,행자남매가 처음에 우주선타고 티바트는 어케 들어온거임천리가 침입자 못들어오게 막아놓은거 아닌가- dc official App,천리도 몰래 쎄게 박으면 꼼짝못함 | 뭐어때 엘리스도 들락날락 잘하는데
오,차단할 명분을 스스로 만들어주네- dc official App,[댓글 없음]
저녁메뉴 공개,미소된장국,아씨발 놀래라 | 똥 | 쌈장이냐 된장임? | 진짜똥같네
